#;NAME;Gl;Gb;RAJD;DECJD;P0;
1;J0002+6216;117.327;-0.074;0.74237500;62.26927778;0.115364;
2;J0006+1834;108.172;-42.985;1.52000000;18.58305556;0.693748;
3;J0007+7303;119.660;10.463;1.75708333;73.05205556;0.315873;
4;J0011+08;106.228;-53.407;2.89166667;8.16666667;2.552870;
5;J0012+5431;117.231;-7.909;3.09708333;54.52972222;3.025301;
6;B0011+47;116.497;-14.631;3.57395833;47.77594444;1.240699;
7;J0021-0909;100.291;-70.726;5.46445833;-9.16630556;2.314131;
8;J0023+0923;111.383;-52.849;5.82032291;9.38996121;0.003050;
9;J0024-7204aa;305.895;-44.889;6.02362500;-72.08128333;0.001840;
10;J0024-7204ab;305.891;-44.891;6.03400625;-72.07988944;0.003705;
11;J0024-7204ac;305.898;-44.902;6.02362500;-72.06805556;0.002740;
12;J0024-7204ad;305.898;-44.902;6.02362500;-72.06805556;0.003740;
13;B0021-72C;305.923;-44.892;5.95981083;-72.07541800;0.005757;
14;B0021-72D;305.881;-44.893;6.05783717;-72.07884789;0.005358;
15;B0021-72E;305.883;-44.883;6.04627200;-72.08893033;0.003536;
16;B0021-72F;305.899;-44.892;6.01606446;-72.07856064;0.002624;
17;B0021-72G;305.891;-44.893;6.03316792;-72.07769528;0.004040;
18;B0021-72H;305.896;-44.902;6.02793000;-72.06855742;0.003210;
19;B0021-72I;305.892;-44.893;6.03306125;-72.07768931;0.003485;
20;B0021-72J;305.909;-44.903;5.99753208;-72.06633078;0.002101;
21;B0021-72L;305.898;-44.888;6.01571708;-72.08247861;0.004346;
22;B0021-72M;305.913;-44.877;5.97704125;-72.09187667;0.003677;
23;B0021-72N;305.890;-44.897;6.03828333;-72.07469186;0.003054;
24;J0024-7204O;305.897;-44.889;6.01938558;-72.08160194;0.002643;
25;J0024-7204P;305.872;-44.904;6.08333333;-72.06944444;0.003643;
26;J0024-7204Q;305.877;-44.899;6.06871208;-72.07365678;0.004033;
27;J0024-7204R;305.892;-44.890;6.03160458;-72.08066539;0.003480;
28;J0024-7204S;305.898;-44.892;6.01658083;-72.07843139;0.002830;
29;J0024-7204T;305.890;-44.894;6.03562125;-72.07748111;0.007588;
30;J0024-7204U;305.890;-44.905;6.04098583;-72.06658006;0.004343;
31;J0024-7204V;305.895;-44.889;6.02362500;-72.08128333;0.004810;
32;J0024-7204W;305.894;-44.890;6.02524167;-72.08030222;0.002352;
33;J0024-7204X;305.877;-44.952;6.09327354;-72.02151150;0.004772;
34;J0024-7204Y;305.903;-44.891;6.00584417;-72.07828786;0.002197;
35;J0024-7204Z;305.894;-44.887;6.02517083;-72.08374444;0.004554;
36;J0026-1955;83.291;-80.829;6.65000000;-19.93305556;1.306150;
37;J0026+6320;120.176;0.593;6.71067083;63.33357500;0.318358;
38;J0030+0451;113.141;-57.611;7.61428128;4.86103100;0.004865;
39;J0033+57;120.410;-5.781;8.25000000;57.00000000;0.315000;
40;J0033+61;120.698;-1.792;8.25000000;61.00000000;0.912000;
41;J0034-0534;111.492;-68.069;8.59097592;-5.57686722;0.001877;
42;B0031-07;110.420;-69.815;8.53695958;-7.36483583;0.942951;
43;J0034+69;121.411;6.896;8.50000000;69.71666667;0.036804;
44;J0036-1033;110.033;-73.044;9.06254167;-10.55394444;0.900009;
45;J0038-2501;67.413;-86.354;9.54276667;-25.02520278;0.256926;
46;J0039+35;120.121;-27.054;9.77500000;35.75000000;0.536700;
47;B0037+56;121.452;-5.567;10.13495792;57.27356472;1.118225;
48;J0043-73;303.737;-43.932;10.85416667;-73.18333333;0.937429;
49;J0045-7042;303.652;-46.418;11.35704167;-70.70197222;0.632336;
50;J0045-7319;303.514;-43.804;11.39650000;-73.31750000;0.926276;
51;B0045+33;122.255;-28.666;12.14160282;34.20223077;1.217094;
52;J0050+03;122.485;-59.071;12.62916667;3.80000000;1.366560;
53;J0051+0423;122.962;-58.491;12.87541667;4.38027778;0.354732;
54;J0052-72;302.820;-45.045;13.11666667;-72.08333333;0.191444;
55;J0054+66;123.193;3.130;13.50000000;66.00000000;1.390000;
56;J0054+69;123.200;6.563;13.61666667;69.43333333;*;
57;J0054+6946;123.241;6.902;13.74631750;69.77134719;0.832911;
58;B0052+51;123.621;-11.576;13.93915875;51.29016694;2.115171;
59;B0053+47;123.796;-14.927;14.10630345;47.93626269;0.472037;
60;J0057-7201;302.244;-45.098;14.43333333;-72.02194444;0.738062;
